volume,underlying_price,underlying_index,quote_currency,open_interest,mid_price,mark_price,low,last,interest_rate,instrument_name,high,estimated_delivery_price,creation_timestamp,bid_price,base_currency,ask_price,maturity,strike,type
0.0,10162.555637228064,SYN.BTC-21FEB20,USD,0.0,,0.13949297,,,0.0,BTC-21FEB20-8750-C,,10144.16,1582109941987,,BTC,,21FEB20,8750,C
15.2,10162.555637228064,SYN.BTC-21FEB20,USD,37.5,,0.06561603,0.0305,0.061,0.0,BTC-21FEB20-9500-C,0.061,10144.16,1582109941987,,BTC,,21FEB20,9500,C
0.0,10162.555637228064,SYN.BTC-21FEB20,USD,42.9,,0.00048735,,0.0045,0.0,BTC-21FEB20-8500-P,,10144.16,1582109941987,0.0005,BTC,,21FEB20,8500,P
0.0,9991.518287389597,SYN.BTC-25SEP20,USD,314.4,0.56175,0.61627663,,0.606,0.0,BTC-25SEP20-15000-P,,10144.16,1582109941987,0.5185,BTC,0.605,25SEP20,15000,P
84.4,9991.518287389597,SYN.BTC-25SEP20,USD,703.9,0.13525,0.17348745,0.117,0.1305,0.0,BTC-25SEP20-9000-P,0.1655,10144.16,1582109941987,0.0975,BTC,0.173,25SEP20,9000,P
0.0,10651.368,BTC-26JUN20,USD,188.2,0.2855,0.30010593,,0.2965,0.0,BTC-26JUN20-8000-C,,10144.16,1582109941987,0.2575,BTC,0.3135,26JUN20,8000,C
0.0,10162.555637228064,SYN.BTC-21FEB20,USD,0.0,,0.10699239,,,0.0,BTC-21FEB20-11250-P,,10144.16,1582109941987,0.0015,BTC,,21FEB20,11250,P
2.1,10152.753512703854,SYN.BTC-20FEB20,USD,2.0,,0.00049331,0.0015,0.0015,0.0,BTC-20FEB20-9625-P,0.009,10144.16,1582109941987,0.0005,BTC,,20FEB20,9625,P
137.6,9991.518287389597,SYN.BTC-25SEP20,USD,871.4,0.05925,0.08041144,0.0485,0.0585,0.0,BTC-25SEP20-7000-P,0.078,10144.16,1582109941987,0.039,BTC,0.0795,25SEP20,7000,P
12.0,10231.17050957824,SYN.BTC-28FEB20,USD,191.0,0.004,0.00194326,0.0065,0.0105,0.0,BTC-28FEB20-12000-C,0.0105,10144.16,1582109941987,0.001,BTC,0.007,28FEB20,12000,C
1.0,10505.62,BTC-27MAR20,USD,1186.1,0.34575,0.3477924,0.372,0.372,0.0,BTC-27MAR20-14000-P,0.372,10144.16,1582109941987,0.327,BTC,0.3645,27MAR20,14000,P
0.0,10162.555637228064,SYN.BTC-21FEB20,USD,0.0,,0.13159064,,,0.0,BTC-21FEB20-11500-P,,10144.16,1582109941987,0.0015,BTC,,21FEB20,11500,P
832.7,10231.17050957824,SYN.BTC-28FEB20,USD,585.0,0.0065,0.00653105,0.0035,0.0075,0.0,BTC-28FEB20-9500-P,0.051,10144.16,1582109941987,0.0045,BTC,0.0085,28FEB20,9500,P
0.0,10152.753512703854,SYN.BTC-20FEB20,USD,0.0,,0.05917643,,,0.0,BTC-20FEB20-10750-P,,10144.16,1582109941987,,BTC,,20FEB20,10750,P
2.0,10505.62,BTC-27MAR20,USD,661.8,0.336,0.33636378,0.3215,0.333,0.0,BTC-27MAR20-7000-C,0.333,10144.16,1582109941987,0.3285,BTC,0.3435,27MAR20,7000,C
3.0,10152.753512703854,SYN.BTC-20FEB20,USD,3.0,,0.10134571,0.094,0.094,0.0,BTC-20FEB20-9125-C,0.0945,10144.16,1582109941987,,BTC,0.094,20FEB20,9125,C
1.0,10152.753512703854,SYN.BTC-20FEB20,USD,1.0,,0.00017845,0.006,0.006,0.0,BTC-20FEB20-9375-P,0.006,10144.16,1582109941987,,BTC,,20FEB20,9375,P
0.0,10651.368,BTC-26JUN20,USD,167.6,0.37525,0.40973159,,0.444,0.0,BTC-26JUN20-14000-P,,10144.16,1582109941987,0.348,BTC,0.4025,26JUN20,14000,P
157.8,10162.555637228064,SYN.BTC-21FEB20,USD,206.3,0.01475,0.01493957,0.015,0.017,0.0,BTC-21FEB20-10250-P,0.0262,10144.16,1582109941987,0.013,BTC,0.0165,21FEB20,10250,P
0.0,10152.753512703854,SYN.BTC-20FEB20,USD,0.0,,0.02595988,,,0.0,BTC-20FEB20-10375-P,,10144.16,1582109941987,0.0185,BTC,,20FEB20,10375,P
0.0,10231.17050957824,SYN.BTC-28FEB20,USD,298.8,,3.67e-06,,0.0015,0.0,BTC-28FEB20-7500-P,,10144.16,1582109941987,,BTC,0.0005,28FEB20,7500,P
523.1,10162.555637228064,SYN.BTC-21FEB20,USD,573.0,0.00525,0.00508672,0.006,0.006,0.0,BTC-21FEB20-10000-P,0.0335,10144.16,1582109941987,0.003,BTC,0.0075,21FEB20,10000,P
3.0,10505.62,BTC-27MAR20,USD,554.3,0.42925,0.42996935,0.4135,0.4295,0.0,BTC-27MAR20-6000-C,0.4295,10144.16,1582109941987,0.423,BTC,0.4355,27MAR20,6000,C
28.0,9991.518287389597,SYN.BTC-25SEP20,USD,1369.8,0.0025,0.00233357,0.0045,0.0045,0.0,BTC-25SEP20-3000-P,0.0045,10144.16,1582109941987,0.0005,BTC,0.0045,25SEP20,3000,P
0.1,10152.753512703854,SYN.BTC-20FEB20,USD,0.1,,0.06477888,0.065,0.065,0.0,BTC-20FEB20-9500-C,0.065,10144.16,1582109941987,0.064,BTC,,20FEB20,9500,C
817.9,10162.555637228064,SYN.BTC-21FEB20,USD,538.0,0.0245,0.02109491,0.0055,0.0215,0.0,BTC-21FEB20-10000-C,0.03,10144.16,1582109941987,0.021,BTC,0.028,21FEB20,10000,C
0.0,10162.555637228064,SYN.BTC-21FEB20,USD,11.2,,0.00017167,,0.0005,0.0,BTC-21FEB20-8250-P,,10144.16,1582109941987,,BTC,,21FEB20,8250,P
0.0,10162.555637228064,SYN.BTC-21FEB20,USD,503.0,,0.11441123,,0.1055,0.0,BTC-21FEB20-9000-C,,10144.16,1582109941987,0.114,BTC,,21FEB20,9000,C
12.5,10162.555637228064,SYN.BTC-21FEB20,USD,314.3,,0.00028035,0.0035,0.0035,0.0,BTC-21FEB20-10750-C,0.0035,10144.16,1582109941987,,BTC,0.0025,21FEB20,10750,C
0.0,10231.17050957824,SYN.BTC-28FEB20,USD,2.0,,0.22267399,,0.25,0.0,BTC-28FEB20-12500-P,,10144.16,1582109941987,,BTC,,28FEB20,12500,P
0.0,10152.753512703854,SYN.BTC-20FEB20,USD,0.0,,0.00036396,,,0.0,BTC-20FEB20-10750-C,,10144.16,1582109941987,,BTC,,20FEB20,10750,C
690.9,10231.17050957824,SYN.BTC-28FEB20,USD,742.6,0.02025,0.01696202,0.004,0.0215,0.0,BTC-28FEB20-10500-C,0.0225,10144.16,1582109941987,0.0155,BTC,0.025,28FEB20,10500,C
0.0,10231.17050957824,SYN.BTC-28FEB20,USD,1000.0,0.31475,0.31582528,,0.2885,0.0,BTC-28FEB20-7000-C,,10144.16,1582109941987,0.3095,BTC,0.32,28FEB20,7000,C
116.1,9991.518287389597,SYN.BTC-25SEP20,USD,433.4,0.1855,0.23174052,0.164,0.232,0.0,BTC-25SEP20-10000-P,0.232,10144.16,1582109941987,0.139,BTC,0.232,25SEP20,10000,P
0.1,10152.753512703854,SYN.BTC-20FEB20,USD,0.1,,0.00291073,0.0025,0.0025,0.0,BTC-20FEB20-9875-P,0.0025,10144.16,1582109941987,0.0005,BTC,,20FEB20,9875,P
0.8,10162.555637228064,SYN.BTC-21FEB20,USD,128.6,,0.0004858,0.0005,0.0005,0.0,BTC-21FEB20-8750-P,0.005,10144.16,1582109941987,0.0005,BTC,,21FEB20,8750,P
20.0,10505.62,BTC-27MAR20,USD,3510.1,0.00475,0.00491587,0.0045,0.0065,0.0,BTC-27MAR20-18000-C,0.0085,10144.16,1582109941987,0.0035,BTC,0.006,27MAR20,18000,C
0.3,10162.555637228064,SYN.BTC-21FEB20,USD,23.2,,0.05807154,0.051,0.051,0.0,BTC-21FEB20-10750-P,0.052,10144.16,1582109941987,,BTC,,21FEB20,10750,P
0.0,10651.368,BTC-26JUN20,USD,116.5,0.0115,0.01284563,,0.02,0.0,BTC-26JUN20-6000-P,,10144.16,1582109941987,0.008,BTC,0.015,26JUN20,6000,P
0.0,10231.17050957824,SYN.BTC-28FEB20,USD,502.2,0.21725,0.21814297,,0.1865,0.0,BTC-28FEB20-8000-C,,10144.16,1582109941987,0.2115,BTC,0.223,28FEB20,8000,C
79.5,10231.17050957824,SYN.BTC-28FEB20,USD,630.2,0.00525,0.00517722,0.0005,0.007,0.0,BTC-28FEB20-11500-C,0.009,10144.16,1582109941987,0.0035,BTC,0.007,28FEB20,11500,C
0.0,10162.555637228064,SYN.BTC-21FEB20,USD,0.0,,0.18837843,,,0.0,BTC-21FEB20-8250-C,,10144.16,1582109941987,0.0035,BTC,,21FEB20,8250,C
0.0,10152.753512703854,SYN.BTC-20FEB20,USD,0.0,,0.07679549,,,0.0,BTC-20FEB20-9375-C,,10144.16,1582109941987,,BTC,,20FEB20,9375,C
1.0,10231.17050957824,SYN.BTC-28FEB20,USD,112.6,0.169,0.16970728,0.1535,0.1535,0.0,BTC-28FEB20-8500-C,0.1535,10144.16,1582109941987,0.161,BTC,0.177,28FEB20,8500,C
0.0,10162.555637228064,SYN.BTC-21FEB20,USD,145.1,,6e-08,,0.0015,0.0,BTC-21FEB20-11500-C,,10144.16,1582109941987,,BTC,,21FEB20,11500,C
25.0,9991.518287389597,SYN.BTC-25SEP20,USD,370.3,,0.00926593,0.01,0.01,0.0,BTC-25SEP20-4000-P,0.01,10144.16,1582109941987,,BTC,0.01,25SEP20,4000,P
0.0,10152.753512703854,SYN.BTC-20FEB20,USD,0.0,0.08825,0.08918681,,,0.0,BTC-20FEB20-9250-C,,10144.16,1582109941987,0.088,BTC,0.0885,20FEB20,9250,C
0.0,10231.17050957824,SYN.BTC-28FEB20,USD,17.0,0.1315,0.12917872,,0.141,0.0,BTC-28FEB20-11500-P,,10144.16,1582109941987,0.1215,BTC,0.1415,28FEB20,11500,P
0.0,9991.518287389597,SYN.BTC-25SEP20,USD,169.4,0.62525,0.70085912,,0.692,0.0,BTC-25SEP20-16000-P,,10144.16,1582109941987,0.6115,BTC,0.639,25SEP20,16000,P
140.0,10505.62,BTC-27MAR20,USD,3571.4,0.01625,0.01519137,0.011,0.011,0.0,BTC-27MAR20-14000-C,0.022,10144.16,1582109941987,0.008,BTC,0.0245,27MAR20,14000,C
0.0,10152.753512703854,SYN.BTC-20FEB20,USD,0.0,,0.01723578,,,0.0,BTC-20FEB20-10250-P,,10144.16,1582109941987,0.0085,BTC,,20FEB20,10250,P
0.0,10651.368,BTC-26JUN20,USD,10.9,0.62425,0.62539146,,0.6055,0.0,BTC-26JUN20-4000-C,,10144.16,1582109941987,0.6185,BTC,0.63,26JUN20,4000,C
52.1,9991.518287389597,SYN.BTC-25SEP20,USD,1209.5,0.31575,0.36682578,0.311,0.321,0.0,BTC-25SEP20-12000-P,0.3585,10144.16,1582109941987,0.2635,BTC,0.368,25SEP20,12000,P
2.0,9991.518287389597,SYN.BTC-25SEP20,USD,282.2,0.01275,0.02373586,0.024,0.024,0.0,BTC-25SEP20-5000-P,0.024,10144.16,1582109941987,0.0015,BTC,0.024,25SEP20,5000,P
