underlying_price,underlying_index,timestamp,state,settlement_price,open_interest,min_price,max_price,mark_price,mark_iv,last_price,interest_rate,instrument_name,index_price,bid_iv,best_bid_price,best_bid_amount,best_ask_price,best_ask_amount,ask_iv,vega,theta,rho,gamma,delta
8684.56,BTC-27MAR20,1583060340373,open,0.08,1131.6,0.058,0.116,0.08115879,56.73,0.0735,0.0,BTC-27MAR20-9000-P,8571.89,55.63,0.08,3.0,0.0825,0.1,58.01,9.10652,-9.98329,-3.97092,0.0003,-0.56382
8684.56,BTC-27MAR20,1583060340378,open,0.0,556.6,0.0005,0.014,0.00401525,69.49,0.0045,0.0,BTC-27MAR20-6500-P,8571.89,67.5,0.0035,54.0,0.0045,32.1,71.24,2.33128,-3.13019,-0.32392,6e-05,-0.0486
8944.68,BTC-26JUN20,1583060340485,open,0.15,752.5,0.1105,0.193,0.14734723,64.04,0.148,0.0,BTC-26JUN20-9000-P,8571.89,63.66,0.1465,0.1,0.1495,1.0,65.01,19.92218,-5.45828,-16.67336,0.00012,-0.43479
8684.54,BTC-27MAR20,1583060341382,open,0.05,1241.5,0.0305,0.0815,0.04805986,55.31,0.0495,0.0,BTC-27MAR20-8500-P,8571.87,54.77,0.0475,0.1,0.05,20.5,57.18,9.00525,-9.62364,-2.83943,0.0003,-0.41314
8944.68,BTC-26JUN20,1583060343735,open,0.15,752.5,0.1105,0.193,0.14734782,64.04,0.148,0.0,BTC-26JUN20-9000-P,8571.94,63.66,0.1465,0.1,0.15,4.0,65.23,19.92218,-5.4583,-16.67336,0.00012,-0.43479
8944.67,BTC-26JUN20,1583060343808,open,0.08,112.7,0.049,0.121,0.07984565,68.49,0.08,0.0,BTC-26JUN20-11000-C,8571.94,68.09,0.079,3.5,0.081,0.1,69.03,19.05903,-5.5843,8.22341,0.00011,0.36696
8944.67,BTC-26JUN20,1583060343808,open,0.31,0.0,0.265,0.3635,0.30963243,68.49,None,0.0,BTC-26JUN20-11000-P,8571.94,0.0,0.0,0.0,0.0,0.0,0.0,19.05916,-5.5845,-26.9993,0.00011,-0.63303
8944.67,BTC-26JUN20,1583060343808,open,0.04,91.2,0.0235,0.084,0.04738193,72.14,0.0475,0.0,BTC-26JUN20-13000-C,8571.94,71.34,0.046,4.0,0.049,31.3,73.06,15.67299,-4.83673,5.46748,8e-05,0.23828
8944.67,BTC-26JUN20,1583060343808,open,0.5,0.0,0.454,0.5575,0.5007663,72.14,None,0.0,BTC-26JUN20-13000-P,8571.94,0.0,0.0,0.0,0.0,0.0,0.0,15.67346,-4.83706,-36.15924,8e-05,-0.76171
8944.67,BTC-26JUN20,1583060344018,open,0.19,256.8,0.1615,0.2345,0.19532827,64.04,0.1935,0.0,BTC-26JUN20-8000-C,8571.94,61.88,0.191,15.0,0.1975,14.6,65.12,17.91528,-4.90821,14.1008,0.00011,0.68765
8944.66,BTC-26JUN20,1583060344161,open,0.82,7.0,0.766,0.8745,0.81444201,78.17,0.79,0.0,BTC-26JUN20-16000-P,8571.94,0.0,0.001,2.0,0.0,0.0,0.0,11.10524,-3.71372,-48.04202,6e-05,-0.86292
8684.59,BTC-27MAR20,1583060344179,open,0.51,3.0,0.469,0.5385,0.50086485,84.42,0.33,0.0,BTC-27MAR20-13000-P,8571.94,0.0,0.15,0.2,0.0,0.0,0.0,2.24113,-3.65605,-8.95555,5e-05,-0.95374
8944.66,BTC-26JUN20,1583060344193,open,1.26,0.1,1.1975,1.316,1.25074159,86.24,1.85,0.0,BTC-26JUN20-20000-P,8571.94,0.0,0.001,2.0,0.0,0.0,0.0,7.52719,-2.77717,-62.17223,3e-05,-0.91997
8684.59,BTC-27MAR20,1583060344196,open,0.0,242.0,0.0005,0.0105,1.897e-05,120.79,0.0005,0.0,BTC-27MAR20-28000-C,8571.94,0.0,0.0,0.0,0.001,44.0,166.46,0.02171,-0.05067,0.00143,0.0,0.00025
8684.59,BTC-27MAR20,1583060344398,open,0.34,0.0,0.301,0.3665,0.33113465,71.93,None,0.0,BTC-27MAR20-11500-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60691,-5.0132,-7.67039,9e-05,-0.91472
8684.59,BTC-27MAR20,1583060344398,open,0.12,55.3,0.0955,0.157,0.12172365,57.77,0.12,0.0,BTC-27MAR20-9500-P,8572.0,57.0,0.121,2.0,0.124,4.0,60.19,8.11433,-9.05843,-5.0206,0.00026,-0.69375
8684.59,BTC-27MAR20,1583060344398,open,0.23,0.0,0.192,0.255,0.22126565,63.6,None,0.0,BTC-27MAR20-10500-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3922,-6.62687,-6.59526,0.00016,-0.84997
8684.59,BTC-27MAR20,1583060344398,open,0.01,49.7,0.0005,0.021,0.00694246,71.91,0.007,0.0,BTC-27MAR20-11500-C,8572.0,70.83,0.0065,1.6,0.0075,24.1,73.23,3.60494,-5.00918,0.48189,9e-05,0.08521
8684.59,BTC-27MAR20,1583060344398,open,0.03,282.5,0.0135,0.0535,0.02782575,57.77,0.026,0.0,BTC-27MAR20-9500-C,8572.0,56.88,0.027,23.1,0.029,19.4,59.02,8.11401,-9.05701,1.71404,0.00026,0.30623
8684.59,BTC-27MAR20,1583060344398,open,0.01,330.8,0.0025,0.0295,0.01222061,63.59,0.013,0.0,BTC-27MAR20-10500-C,8572.0,62.42,0.0115,53.0,0.013,24.0,64.83,5.39102,-6.62425,0.84817,0.00016,0.14998
8684.59,BTC-27MAR20,1583060344398,open,0.0,2273.8,0.0005,0.011,0.00143237,100.94,0.0025,0.0,BTC-27MAR20-16000-C,8572.0,96.43,0.001,64.0,0.002,24.0,105.63,0.93603,-1.82571,0.09099,2e-05,0.01621
8944.66,BTC-26JUN20,1583060344398,open,0.05,390.1,0.0265,0.0775,0.04722464,64.04,0.044,0.0,BTC-26JUN20-7000-P,8572.0,62.29,0.0445,23.3,0.0475,19.3,64.22,13.97851,-3.82979,-6.95315,9e-05,-0.19554
8944.66,BTC-26JUN20,1583060344398,open,0.22,858.7,0.1805,0.273,0.22255632,65.93,0.2255,0.0,BTC-26JUN20-10000-P,8572.0,64.56,0.2195,0.1,0.2285,0.1,68.57,20.06528,-5.65926,-21.97691,0.00012,-0.54475
8684.59,BTC-27MAR20,1583060344399,open,0.0,1425.2,0.0005,0.012,0.00225895,76.17,0.0025,0.0,BTC-27MAR20-6000-P,8572.0,74.56,0.002,24.0,0.0025,0.1,77.57,1.44681,-2.12937,-0.1809,4e-05,-0.02712
8684.59,BTC-27MAR20,1583060344398,open,0.04,1733.7,0.027,0.075,0.04482988,56.73,0.044,0.0,BTC-27MAR20-9000-C,8572.0,55.93,0.044,1.0,0.0455,14.4,57.36,9.10653,-9.98189,2.40939,0.0003,0.43617
8684.59,BTC-27MAR20,1583060344399,open,0.37,22.4,0.354,0.3825,0.36760936,79.41,0.4285,0.0,BTC-27MAR20-5500-C,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70736,-1.08534,3.82131,2e-05,0.98828
8944.66,BTC-26JUN20,1583060344399,open,0.26,126.5,0.2355,0.2985,0.26463131,64.04,0.285,0.0,BTC-26JUN20-7000-C,8572.0,61.05,0.26,1.0,0.2905,7.0,79.92,13.9783,-3.82959,15.4616,9e-05,0.80446
8944.66,BTC-26JUN20,1583060344399,open,0.61,12.5,0.5555,0.66,0.60260251,73.88,0.56,0.0,BTC-26JUN20-14000-P,8572.0,0.0,0.001,2.0,0.0,0.0,0.0,13.92031,-4.39992,-40.3386,7e-05,-0.8058
8684.59,BTC-27MAR20,1583060344398,open,0.0,1389.6,0.0005,0.0105,3.151e-05,91.28,0.0005,0.0,BTC-27MAR20-4000-P,8572.0,0.0,0.0,0.0,0.0005,9.9,118.93,0.03835,-0.06764,-0.00305,0.0,-0.00046
8684.59,BTC-27MAR20,1583060344399,open,3.62,1.4,3.516,3.6995,3.60588604,156.67,3.0435,0.0,BTC-27MAR20-40000-P,8572.0,0.0,0.0005,1.0,0.0,0.0,0.0,0.02377,-0.07195,-28.35538,0.0,-0.99972
8684.59,BTC-27MAR20,1583060344399,open,3.16,0.1,3.064,3.23,3.14529804,146.23,2.64,0.0,BTC-27MAR20-36000-P,8572.0,0.0,0.0005,1.0,0.0,0.0,0.0,0.0234,-0.06613,-25.51971,0.0,-0.99973
8684.59,BTC-27MAR20,1583060344399,open,0.01,2568.6,0.0005,0.018,0.00544975,75.76,0.006,0.0,BTC-27MAR20-12000-C,8572.0,74.42,0.005,43.0,0.006,24.1,77.32,2.98468,-4.36909,0.37595,7e-05,0.06651
8944.66,BTC-26JUN20,1583060344399,open,0.01,325.4,0.0005,0.026,0.00771179,99.67,0.0065,0.0,BTC-26JUN20-28000-C,8572.0,98.19,0.007,20.0,0.0085,24.0,101.21,4.43348,-1.89038,0.94805,2e-05,0.04081
8684.59,BTC-27MAR20,1583060344399,open,1.31,5.3,1.258,1.3545,1.3036574,120.91,0.907,0.0,BTC-27MAR20-20000-P,8572.0,0.0,0.0005,1.0,0.0,0.0,0.0,0.48147,-1.12492,-14.13648,1e-05,-0.99245
8684.59,BTC-27MAR20,1583060344399,open,0.85,21.2,0.8065,0.886,0.84378672,101.04,0.501,0.0,BTC-27MAR20-16000-P,8572.0,0.0,0.0055,0.1,0.0,0.0,0.0,0.94072,-1.83665,-11.25126,2e-05,-0.98369
8684.59,BTC-27MAR20,1583060344399,open,0.17,902.3,0.141,0.2035,0.16984744,60.84,0.159,0.0,BTC-27MAR20-10000-P,8572.0,49.12,0.1615,6.1,0.2015,5.0,96.26,6.75421,-7.94076,-5.87945,0.00021,-0.78512
8684.59,BTC-27MAR20,1583060344399,open,2.93,0.0,2.8385,2.995,2.9150046,140.79,None,0.0,BTC-27MAR20-34000-P,8572.0,0.0,0.0005,1.0,0.0,0.0,0.0,0.02372,-0.06454,-24.10183,0.0,-0.99972
8684.59,BTC-27MAR20,1583060344399,open,0.0,707.3,0.0005,0.0105,0.00072608,91.23,0.001,0.0,BTC-27MAR20-5000-P,8572.0,87.01,0.0005,3.0,0.001,49.1,95.29,0.52491,-0.92537,-0.05573,1e-05,-0.00833
8684.59,BTC-27MAR20,1583060344399,open,0.42,35.7,0.413,0.4385,0.42499035,91.18,0.4975,0.0,BTC-27MAR20-5000-C,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52328,-0.92194,3.48909,1e-05,0.9917
8684.59,BTC-27MAR20,1583060344399,open,1.77,0.0,1.7095,1.821,1.76364376,121.99,None,0.0,BTC-27MAR20-24000-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11305,-0.26649,-17.00569,0.0,-0.9985
8944.66,BTC-26JUN20,1583060344399,open,2.6,0.0,2.509,2.671,2.58377796,105.09,None,0.0,BTC-26JUN20-32000-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67418,-1.65191,-101.71547,1e-05,-0.96756
8684.59,BTC-27MAR20,1583060344399,open,0.0,329.6,0.0005,0.0105,0.00011224,120.71,0.0005,0.0,BTC-27MAR20-24000-C,8572.0,0.0,0.0,0.0,0.001,25.0,147.89,0.10181,-0.23747,0.00756,0.0,0.00134
8944.72,BTC-26JUN20,1583060344399,open,0.04,756.6,0.017,0.071,0.03741584,73.88,0.036,0.0,BTC-26JUN20-14000-C,8572.0,72.96,0.036,50.8,0.039,32.3,74.89,13.91953,-4.39937,4.49009,7e-05,0.19418
8944.72,BTC-26JUN20,1583060344399,open,0.09,492.0,0.0595,0.129,0.08972065,64.04,0.0875,0.0,BTC-26JUN20-8000-P,8572.0,62.43,0.0865,16.6,0.089,4.0,63.68,17.91531,-4.9085,-11.51591,0.00011,-0.31235
8944.72,BTC-26JUN20,1583060344399,open,0.0,330.7,0.0005,0.011,0.00123659,86.52,0.001,0.0,BTC-26JUN20-3000-P,8572.0,84.11,0.001,0.3,0.0015,20.0,88.86,0.94147,-0.34847,-0.22562,0.0,-0.00664
8684.59,BTC-27MAR20,1583060344399,open,0.0,154.1,0.0005,0.0105,8.09e-06,120.89,0.0005,0.0,BTC-27MAR20-30000-C,8572.0,0.0,0.0,0.0,0.001,44.0,174.63,0.01018,-0.02379,0.00064,0.0,0.00011
8684.59,BTC-27MAR20,1583060344399,open,0.0,267.1,0.0005,0.0105,3.56e-06,121.06,0.0005,0.0,BTC-27MAR20-32000-C,8572.0,0.0,0.0,0.0,0.0005,2.3,170.29,0.00487,-0.01139,0.00029,0.0,5e-05
8944.72,BTC-26JUN20,1583060344399,open,0.14,952.4,0.1065,0.1825,0.14115639,64.04,0.1415,0.0,BTC-26JUN20-9000-C,8572.0,63.52,0.14,16.0,0.1425,1.0,64.64,19.92226,-5.45799,12.14555,0.00012,0.56521
8944.72,BTC-26JUN20,1583060344400,open,0.01,2552.7,0.0005,0.023,0.00620843,105.05,0.0065,0.0,BTC-26JUN20-32000-C,8572.0,103.26,0.0055,219.9,0.007,41.0,106.91,3.66808,-1.64854,0.74947,1e-05,0.03238
8944.72,BTC-26JUN20,1583060344399,open,0.01,405.9,0.0005,0.024,0.00670986,102.08,0.0075,0.0,BTC-26JUN20-30000-C,8572.0,100.41,0.006,20.0,0.0075,24.0,103.8,3.95127,-1.72546,0.82286,2e-05,0.03544
8684.59,BTC-27MAR20,1583060344399,open,0.01,1610.0,0.0005,0.0205,0.00754971,64.18,0.008,0.0,BTC-27MAR20-7000-P,8572.0,62.87,0.007,24.2,0.008,65.0,65.21,3.72158,-4.61517,-0.59397,0.00011,-0.08892
8684.59,BTC-27MAR20,1583060344399,open,0.0,374.5,0.0005,0.0105,0.00028106,120.69,0.001,0.0,BTC-27MAR20-22000-C,8572.0,0.0,0.0,0.0,0.001,19.0,137.19,0.22096,-0.51529,0.01765,0.0,0.00315
8944.72,BTC-26JUN20,1583060344399,open,0.01,1315.4,0.0045,0.039,0.01476063,86.23,0.016,0.0,BTC-26JUN20-20000-C,8572.0,84.7,0.0135,24.0,0.016,44.0,87.67,7.5245,-2.77577,1.86844,3e-05,0.08
8684.59,BTC-27MAR20,1583060344399,open,2.7,0.0,2.6125,2.7595,2.68471225,135.38,None,0.0,BTC-27MAR20-32000-P,8572.0,0.0,0.0005,1.0,0.0,0.0,0.0,0.02503,-0.06548,-22.68389,0.0,-0.99971
8944.72,BTC-26JUN20,1583060344399,open,0.55,21.6,0.5445,0.569,0.55549801,73.19,0.612,0.0,BTC-26JUN20-4000-C,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00072,-0.62643,12.27967,1e-05,0.98423
8944.72,BTC-26JUN20,1583060344399,open,0.35,72.7,0.3275,0.3765,0.34985002,64.61,0.44,0.0,BTC-26JUN20-6000-C,8572.0,34.89,0.3305,0.1,0.0,0.0,0.0,8.95728,-2.47567,15.72429,5e-05,0.89885
8684.59,BTC-27MAR20,1583060344399,open,0.0,221.1,0.0005,0.0105,1.62e-06,121.3,0.0005,0.0,BTC-27MAR20-34000-C,8572.0,0.0,0.0,0.0,0.0005,19.0,177.0,0.00239,-0.0056,0.00014,0.0,2e-05
8944.72,BTC-26JUN20,1583060344400,open,0.0,457.4,0.0005,0.0125,0.0026942,73.21,0.0035,0.0,BTC-26JUN20-4000-P,8572.0,69.82,0.002,73.0,0.0035,44.0,76.53,2.003,-0.62733,-0.52937,1e-05,-0.01579
8944.72,BTC-26JUN20,1583060344399,open,2.15,0.0,2.071,2.2175,2.13808513,99.74,None,0.0,BTC-26JUN20-28000-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,4.44612,-1.89711,-88.70691,2e-05,-0.95904
8684.59,BTC-27MAR20,1583060344399,open,0.03,1697.6,0.0135,0.053,0.02664601,56.63,0.0255,0.0,BTC-27MAR20-8000-P,8572.0,55.32,0.0255,23.2,0.0275,23.0,57.6,7.61208,-8.32977,-1.81188,0.00025,-0.26765
8944.72,BTC-26JUN20,1583060344399,open,1.48,0.0,1.4155,1.54,1.47170445,90.1,None,0.0,BTC-26JUN20-22000-P,8572.0,0.0,0.001,2.0,0.0,0.0,0.0,6.45578,-2.48849,-68.91776,3e-05,-0.9345
8684.59,BTC-27MAR20,1583060344400,open,0.62,69.6,0.5815,0.6545,0.61501493,91.8,0.59,0.0,BTC-27MAR20-14000-P,8572.0,0.0,0.004,0.1,0.0,0.0,0.0,1.72457,-3.05922,-9.73678,4e-05,-0.96648
8684.59,BTC-27MAR20,1583060344399,open,0.31,32.7,0.296,0.329,0.31137607,76.14,0.3165,0.0,BTC-27MAR20-6000-C,8572.0,0.0,0.2985,7.0,0.321,7.0,109.93,1.44531,-2.12649,4.07287,4e-05,0.97291
8944.72,BTC-26JUN20,1583060344400,open,0.01,1283.4,0.0005,0.031,0.01018365,93.48,0.01,0.0,BTC-26JUN20-24000-C,8572.0,91.52,0.009,44.0,0.0115,40.0,95.51,5.60206,-2.24034,1.27354,2e-05,0.05465
8944.72,BTC-26JUN20,1583060344399,open,0.02,608.6,0.006,0.0455,0.01885598,82.24,0.018,0.0,BTC-26JUN20-18000-C,8572.0,80.87,0.0175,24.0,0.02,44.0,83.36,9.01467,-3.17159,2.38254,4e-05,0.10204
8944.72,BTC-26JUN20,1583060344399,open,0.66,34.7,0.656,0.6755,0.66583945,86.49,0.708,0.0,BTC-26JUN20-3000-C,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93956,-0.34763,9.38115,0.0,0.99337
8684.59,BTC-27MAR20,1583060344399,open,2.0,0.0,1.9355,2.0555,1.99387147,123.53,None,0.0,BTC-27MAR20-26000-P,8572.0,0.0,0.001,1.0,0.0,0.0,0.0,0.06077,-0.14505,-18.42769,0.0,-0.99924
8684.59,BTC-27MAR20,1583060344401,open,0.02,1975.7,0.0065,0.0385,0.01837597,60.83,0.018,0.0,BTC-27MAR20-10000-C,8572.0,60.35,0.018,39.1,0.019,19.3,61.63,6.7535,-7.9388,1.20958,0.00021,0.21484
8944.72,BTC-26JUN20,1583060344400,open,0.1,935.9,0.071,0.1465,0.10456584,65.92,0.1045,0.0,BTC-26JUN20-10000-C,8572.0,65.45,0.1035,16.9,0.106,0.1,66.56,20.0654,-5.65901,10.04397,0.00012,0.45524
8684.59,BTC-27MAR20,1583060344400,open,0.0,37.2,0.0005,0.0105,0.00018094,91.27,0.0005,0.0,BTC-27MAR20-4500-P,8572.0,0.0,0.0,0.0,0.001,44.1,111.61,0.1696,-0.2991,-0.01557,0.0,-0.00235
8684.59,BTC-27MAR20,1583060344400,open,0.28,279.1,0.246,0.3095,0.27529212,67.07,0.2605,0.0,BTC-27MAR20-11000-P,8572.0,0.0,0.2275,1.1,0.0,0.0,0.0,4.30767,-5.58313,-7.18309,0.00012,-0.89142
8684.65,BTC-27MAR20,1583060344401,open,0.15,10.3,0.128,0.1755,0.15029892,59.21,0.174,0.0,BTC-27MAR20-7500-C,8572.0,40.72,0.1405,6.0,0.1715,6.0,88.03,5.54477,-6.34438,4.26796,0.00018,0.84352
8684.65,BTC-27MAR20,1583060344401,open,0.01,1163.8,0.0005,0.0235,0.00867351,67.06,0.0095,0.0,BTC-27MAR20-11000-C,8572.0,65.67,0.008,70.0,0.0095,24.1,68.69,4.30611,-5.57976,0.61477,0.00012,0.10853
8684.65,BTC-27MAR20,1583060344401,open,0.0,926.7,0.0005,0.0105,0.00089877,110.44,0.001,0.0,BTC-27MAR20-18000-C,8572.0,103.52,0.0005,86.4,0.0015,24.0,117.53,0.60906,-1.29981,0.05521,1e-05,0.00987
8944.72,BTC-26JUN20,1583060344401,open,1.93,0.0,1.8525,1.9915,1.91572272,97.05,None,0.0,BTC-26JUN20-26000-P,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,5.01995,-2.08413,-82.14746,2e-05,-0.95239
8684.65,BTC-27MAR20,1583060344401,open,0.48,38.8,0.4715,0.493,0.48201878,90.93,0.5475,0.0,BTC-27MAR20-4500-C,8572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16501,-0.28993,3.17505,0.0,0.99772
8944.72,BTC-26JUN20,1583060344401,open,0.01,937.4,0.0005,0.0285,0.00894747,96.99,0.0075,0.0,BTC-26JUN20-26000-C,8572.0,95.24,0.008,44.0,0.01,40.0,98.8,5.00886,-2.07828,1.10363,2e-05,0.04748
8684.59,BTC-27MAR20,1583060344400,open,1.08,0.0,1.0325,1.1195,1.07354741,110.61,1.23,0.0,BTC-27MAR20-18000-P,8572.0,0.0,0.0125,1.0,0.0,0.0,0.0,0.61478,-1.31404,-12.70483,1e-05,-0.99003
8944.72,BTC-26JUN20,1583060344401,open,1.04,1.0,0.981,1.0935,1.03123884,82.26,0.9,0.0,BTC-26JUN20-18000-P,8572.0,0.0,0.001,2.0,0.0,0.0,0.0,9.02007,-3.17436,-55.25303,4e-05,-0.89788
8684.65,BTC-27MAR20,1583060344401,open,0.25,0.0,0.238,0.2755,0.25555793,69.45,None,0.0,BTC-27MAR20-6500-C,8572.0,0.0,0.2515,0.1,0.268,6.0,100.72,2.32809,-3.12426,4.28465,6e-05,0.95149
8944.72,BTC-26JUN20,1583060344401,open,0.45,14.3,0.4335,0.469,0.44926109,68.28,0.518,0.0,BTC-26JUN20-5000-C,8572.0,0.0,0.441,0.1,0.0,0.0,0.0,4.7719,-1.39385,14.49379,3e-05,0.9553
